"Date Heure, GMT+01:00",Flux conductif (W/m2) pour la profondeur 6.6500 m,Flux conductif (W/m2) pour la profondeur 6.6678 m,Flux conductif (W/m2) pour la profondeur 6.6855 m,Flux conductif (W/m2) pour la profondeur 6.7033 m,Flux conductif (W/m2) pour la profondeur 6.7210 m,Flux conductif (W/m2) pour la profondeur 6.7388 m,Flux conductif (W/m2) pour la profondeur 6.7565 m,Flux conductif (W/m2) pour la profondeur 6.7743 m,Flux conductif (W/m2) pour la profondeur 6.7920 m,Flux conductif (W/m2) pour la profondeur 6.8098 m,Flux conductif (W/m2) pour la profondeur 6.8276 m,Flux conductif (W/m2) pour la profondeur 6.8453 m,Flux conductif (W/m2) pour la profondeur 6.8631 m,Flux conductif (W/m2) pour la profondeur 6.8808 m,Flux conductif (W/m2) pour la profondeur 6.8986 m,Flux conductif (W/m2) pour la profondeur 6.9163 m,Flux conductif (W/m2) pour la profondeur 6.9341 m,Flux conductif (W/m2) pour la profondeur 6.9518 m,Flux conductif (W/m2) pour la profondeur 6.9696 m,Flux conductif (W/m2) pour la profondeur 6.9873 m,Flux conductif (W/m2) pour la profondeur 7.0051 m,Flux conductif (W/m2) pour la profondeur 7.0229 m,Flux conductif (W/m2) pour la profondeur 7.0406 m,Flux conductif (W/m2) pour la profondeur 7.0584 m,Flux conductif (W/m2) pour la profondeur 7.0761 m,Flux conductif (W/m2) pour la profondeur 7.0939 m,Flux conductif (W/m2) pour la profondeur 7.1116 m,Flux conductif (W/m2) pour la profondeur 7.1294 m,Flux conductif (W/m2) pour la profondeur 7.1471 m,Flux conductif (W/m2) pour la profondeur 7.1649 m,Flux conductif (W/m2) pour la profondeur 7.1827 m,Flux conductif (W/m2) pour la profondeur 7.2004 m,Flux conductif (W/m2) pour la profondeur 7.2182 m,Flux conductif (W/m2) pour la profondeur 7.2359 m,Flux conductif (W/m2) pour la profondeur 7.2537 m,Flux conductif (W/m2) pour la profondeur 7.2714 m,Flux conductif (W/m2) pour la profondeur 7.2892 m,Flux conductif (W/m2) pour la profondeur 7.3069 m,Flux conductif (W/m2) pour la profondeur 7.3247 m,Flux conductif (W/m2) pour la profondeur 7.3424 m,Flux conductif (W/m2) pour la profondeur 7.3602 m,Flux conductif (W/m2) pour la profondeur 7.3780 m,Flux conductif (W/m2) pour la profondeur 7.3957 m,Flux conductif (W/m2) pour la profondeur 7.4135 m,Flux conductif (W/m2) pour la profondeur 7.4312 m,Flux conductif (W/m2) pour la profondeur 7.4490 m,Flux conductif (W/m2) pour la profondeur 7.4667 m,Flux conductif (W/m2) pour la profondeur 7.4845 m,Flux conductif (W/m2) pour la profondeur 7.5022 m,Flux conductif (W/m2) pour la profondeur 7.5200 m
17/05/18 12:15:00,894.66034,894.66034,894.66034,894.66034,894.66034,894.6624,894.6624,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.6624,894.6624,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.6624,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66034,894.66455
17/05/18 12:30:00,26474.482,-906.8666,111.497284,-944.1041,151.174,-984.2729,194.13667,-1027.414,239.80672,-1073.7925,288.96756,-1123.8932,341.87897,-1177.6874,398.5283,-1235.5922,459.60614,-1297.9572,525.4313,-1365.1301,596.0249,-1437.3303,671.83044,-1515.12,753.41394,-1598.829,841.12164,-1688.9325,935.3718,-1785.8325,1036.8274,-1890.1433,1145.8137,-2002.4136,1263.0826,-2123.224,1389.0986,-2253.2273,1524.6937,-2393.1064,1670.5397,-2543.6794,1827.4219,-2705.6765,1996.2021,-2880.012,2177.7163,-3067.5977,2372.9746,154344.47
17/05/18 12:45:00,-2115.815,228.12839,132.58583,231.8325,128.35165,236.05402,123.678215,240.23119,118.954094,245.0081,113.666115,250.17148,107.8523,255.83534,101.85476,261.88358,95.2279,268.42386,88.06041,275.68848,80.22348,283.45782,71.85648,291.7847,62.817932,301.0788,53.000122,310.9494,42.46007,321.65204,31.009834,333.30716,18.659962,345.87244,5.34077,359.5274,-9.129359,374.35654,-24.765207,390.39783,-41.659695,407.71683,-59.92475,426.5415,-79.72509,446.92258,-101.11563,468.98257,-124.27164,-15357.407
17/05/18 13:00:00,794.30707,-95.82343,-58.949093,-97.305916,-57.39269,-98.822205,-55.45616,-100.38283,-53.65267,-102.27712,-51.631668,-104.28123,-49.24321,-106.416275,-46.8991,-108.78361,-44.202316,-111.43394,-41.300686,-114.18773,-38.230118,-117.178055,-34.868114,-120.42814,-31.30971,-123.99921,-27.33106,-127.92929,-23.166567,-132.11067,-18.545925,-136.63419,-13.597951,-141.59694,-8.263517,-146.96938,-2.5215023,-152.7378,3.7548,-159.06688,10.510484,-165.8796,17.849028,-173.30154,25.7831,-181.34966,34.35283,-190.05983,43.636353,5970.8667
17/05/18 13:15:00,-428.30484,42.694485,23.381971,43.499084,22.564701,44.27412,21.506685,45.12518,20.520468,46.06071,19.41599,47.02581,18.235489,48.269665,16.871258,49.477623,15.614731,50.82707,13.99286,52.258877,12.436456,53.910313,10.628745,55.551193,8.751346,57.388466,6.6817703,59.43692,4.449586,61.67544,2.080134,64.080795,-0.5152819,66.598076,-3.3282144,69.42579,-6.3649983,72.47314,-9.634082,75.76545,-13.186149,79.334404,-17.002192,83.20324,-21.156124,87.41842,-25.64161,91.979935,-30.50511,-3144.2163
17/05/18 13:30:00,84.9117,-16.641071,-12.153473,-16.886042,-11.978192,-16.959955,-11.591731,-17.150019,-11.300301,-17.272503,-11.1630335,-17.49213,-10.839927,-17.7371,-10.495701,-18.053873,-10.094457,-18.395987,-9.6932125,-18.729652,-9.209608,-19.101332,-8.802029,-19.49624,-8.250846,-19.98618,-7.701775,-20.469784,-7.123139,-20.951277,-6.5360556,-21.52569,-5.801145,-22.20358,-5.1422596,-22.864578,-4.2975354,-23.591042,-3.4760408,-24.412535,-2.4856017,-25.32695,-1.5014977,-26.279377,-0.41391495,-27.33106,0.770811,-28.490444,2.0569038,745.161
17/05/18 13:45:00,-130.27339,8.89706,3.1254804,9.112465,2.7854788,9.344764,2.6672175,9.501039,2.2765324,9.775573,2.0083323,9.976196,1.6978961,10.430235,1.2164031,10.7829075,0.9080788,11.160921,0.43292126,11.623408,-0.054907087,12.079559,-0.5110583,12.611736,-1.117148,13.196707,-1.7274613,13.68876,-2.2765324,14.311744,-3.017778,15.063548,-3.7738063,15.7879,-4.5594,16.567158,-5.440026,17.483685,-6.362887,18.408657,-7.3934503,19.468786,-8.481033,20.569038,-9.667871,21.789667,-10.970858,23.107437,-12.364655,-920.95233
17/05/18 14:00:00,-38.84465,-2.2849796,-3.4549227,-2.0484567,-3.5689607,-1.9808787,-3.5034945,-1.8203812,-3.6492095,-1.7464677,-3.6703274,-1.7084552,-3.7357936,-1.6260946,-3.7463527,-1.5373985,-3.8181543,-1.5373985,-3.843496,-1.398019,-3.9131858,-1.3008757,-4.0039935,-1.1910615,-4.04623,-1.0749118,-4.177162,-0.9123024,-4.335548,-0.8214945,-4.3165417,-0.66099685,-4.485487,-0.5406236,-4.660767,-0.31043625,-4.7811403,-0.13937953,-4.9416375,0.031677168,-5.0958,0.22174016,-5.296422,0.46459845,-5.4801497,0.68422675,-5.6828833,0.92074966,-5.8919525,-202.40865
17/05/18 14:15:00,-81.917145,2.6988947,-0.66099685,2.827715,-0.815159,2.9692066,-0.8658425,2.9269702,-0.9228614,3.1677165,-1.1826142,3.2902017,-1.4212489,3.6576567,-1.7190142,3.9110742,-1.9998851,4.1856093,-2.1941717,4.2954235,-2.371564,4.601636,-2.6967826,4.884619,-3.0051072,5.1929436,-3.3028724,5.484373,-3.55629,5.8328223,-4.06946,6.360775,-4.4664803,6.745125,-4.871948,7.123139,-5.3492174,7.6384206,-5.8982882,8.214945,-6.441024,8.776687,-7.0428896,9.395448,-7.686992,10.08812,-8.396561,10.827255,-9.169484,-532.3242
17/05/18 14:30:00,-67.42168,0.62298423,-2.0146677,0.7306866,-1.9154125,0.92497325,-2.234296,1.1424898,-2.3398867,1.1910615,-2.5341733,1.4296961,-2.5447323,1.4930505,-2.749578,1.6598835,-2.825603,1.7464677,-2.9607592,2.067463,-3.2817543,2.2765324,-3.4042394,2.4539244,-3.5858552,2.692559,-3.9131858,3.0410078,-4.181386,3.2775307,-4.3545547,3.577408,-4.7008915,3.8519433,-5.0430045,4.2510757,-5.421019,4.673438,-5.8095922,5.0598993,-6.1812706,5.482261,-6.647981,5.980649,-7.1358094,6.5043783,-7.655315,7.0428896,-8.210722,-417.06158
