"Date Heure, GMT+01:00",Température à l'interface (K) - pour les meilleurs paramètres,Température à l'interface (K) - quantile 5%,Température à l'interface (K) - quantile 50%,Température à l'interface (K) - quantile 95%
17/05/18 12:15:00,288.08099365234375,288.08099365234375,288.08099365234375,288.08099365234375
17/05/18 12:30:00,288.0710144042969,288.0710144042969,288.0710144042969,288.0710144042969
17/05/18 12:45:00,288.06298828125,288.06298828125,288.06298828125,288.06298828125
17/05/18 13:00:00,288.0719909667969,288.0719909667969,288.0719909667969,288.0719909667969
17/05/18 13:15:00,288.0840148925781,288.0840148925781,288.0840148925781,288.0840148925781
17/05/18 13:30:00,288.0899963378906,288.0899963378906,288.0899963378906,288.0899963378906
17/05/18 13:45:00,288.10400390625,288.10400390625,288.10400390625,288.10400390625
17/05/18 14:00:00,288.0719909667969,288.0719909667969,288.0719909667969,288.0719909667969
17/05/18 14:15:00,288.1809997558594,288.1809997558594,288.1809997558594,288.1809997558594
17/05/18 14:30:00,288.2430114746094,288.2430114746094,288.2430114746094,288.2430114746094
17/05/18 14:45:00,288.2590026855469,288.2590026855469,288.2590026855469,288.2590026855469
17/05/18 15:00:00,288.30999755859375,288.30999755859375,288.30999755859375,288.30999755859375
17/05/18 15:15:00,288.3710021972656,288.3710021972656,288.3710021972656,288.3710021972656
17/05/18 15:30:00,288.44000244140625,288.44000244140625,288.44000244140625,288.44000244140625
17/05/18 15:45:00,288.4930114746094,288.4930114746094,288.4930114746094,288.4930114746094
17/05/18 16:00:00,288.5669860839844,288.5669860839844,288.5669860839844,288.5669860839844
17/05/18 16:15:00,288.6440124511719,288.6440124511719,288.6440124511719,288.6440124511719
17/05/18 16:30:00,288.7080078125,288.7080078125,288.7080078125,288.7080078125
17/05/18 16:45:00,288.75299072265625,288.75299072265625,288.75299072265625,288.75299072265625
17/05/18 17:00:00,288.80499267578125,288.80499267578125,288.80499267578125,288.80499267578125
17/05/18 17:15:00,288.8489990234375,288.8489990234375,288.8489990234375,288.8489990234375
17/05/18 17:30:00,288.9289855957031,288.9289855957031,288.9289855957031,288.9289855957031
17/05/18 17:45:00,288.97100830078125,288.97100830078125,288.97100830078125,288.97100830078125
17/05/18 18:00:00,288.98699951171875,288.98699951171875,288.98699951171875,288.98699951171875
17/05/18 18:15:00,288.989990234375,288.989990234375,288.989990234375,288.989990234375
17/05/18 18:30:00,289.0199890136719,289.0199890136719,289.0199890136719,289.0199890136719
17/05/18 18:45:00,289.0260009765625,289.0260009765625,289.0260009765625,289.0260009765625
17/05/18 19:00:00,289.04400634765625,289.04400634765625,289.04400634765625,289.04400634765625
17/05/18 19:15:00,289.0740051269531,289.0740051269531,289.0740051269531,289.0740051269531
17/05/18 19:30:00,289.8840026855469,289.8840026855469,289.8840026855469,289.8840026855469
17/05/18 19:45:00,289.2380065917969,289.2380065917969,289.2380065917969,289.2380065917969
17/05/18 20:00:00,288.8110046386719,288.8110046386719,288.8110046386719,288.8110046386719
17/05/18 20:15:00,288.77099609375,288.77099609375,288.77099609375,288.77099609375
17/05/18 20:30:00,288.697998046875,288.697998046875,288.697998046875,288.697998046875
17/05/18 20:45:00,288.60699462890625,288.60699462890625,288.60699462890625,288.60699462890625
17/05/18 21:00:00,288.52801513671875,288.52801513671875,288.52801513671875,288.52801513671875
17/05/18 21:15:00,288.4410095214844,288.4410095214844,288.4410095214844,288.4410095214844
17/05/18 21:30:00,288.3550109863281,288.3550109863281,288.3550109863281,288.3550109863281
17/05/18 21:45:00,288.2770080566406,288.2770080566406,288.2770080566406,288.2770080566406
17/05/18 22:00:00,288.218994140625,288.218994140625,288.218994140625,288.218994140625
17/05/18 22:15:00,288.1679992675781,288.1679992675781,288.1679992675781,288.1679992675781
17/05/18 22:30:00,288.12298583984375,288.12298583984375,288.12298583984375,288.12298583984375
17/05/18 22:45:00,288.0690002441406,288.0690002441406,288.0690002441406,288.0690002441406
17/05/18 23:00:00,288.0150146484375,288.0150146484375,288.0150146484375,288.0150146484375
17/05/18 23:15:00,287.9469909667969,287.9469909667969,287.9469909667969,287.9469909667969
17/05/18 23:30:00,287.8659973144531,287.8659973144531,287.8659973144531,287.8659973144531
17/05/18 23:45:00,287.781005859375,287.781005859375,287.781005859375,287.781005859375
17/05/19 00:00:00,287.68798828125,287.68798828125,287.68798828125,287.68798828125
17/05/19 00:15:00,287.60400390625,287.60400390625,287.60400390625,287.60400390625
17/05/19 00:30:00,287.50799560546875,287.50799560546875,287.50799560546875,287.50799560546875
17/05/19 00:45:00,287.39599609375,287.39599609375,287.39599609375,287.39599609375
17/05/19 01:00:00,287.31201171875,287.31201171875,287.31201171875,287.31201171875
17/05/19 01:15:00,287.239990234375,287.239990234375,287.239990234375,287.239990234375
17/05/19 01:30:00,287.1830139160156,287.1830139160156,287.1830139160156,287.1830139160156
17/05/19 01:45:00,287.1159973144531,287.1159973144531,287.1159973144531,287.1159973144531
17/05/19 02:00:00,287.0979919433594,287.0979919433594,287.0979919433594,287.0979919433594
17/05/19 02:15:00,287.0660095214844,287.0660095214844,287.0660095214844,287.0660095214844
17/05/19 02:30:00,287.02099609375,287.02099609375,287.02099609375,287.02099609375
17/05/19 02:45:00,286.97601318359375,286.97601318359375,286.97601318359375,286.97601318359375
